DATE,TIME,PMD DELAY, PMD COEFFICIENT 
2015/10/02,14:46:02,0.279,0.0311
2015/10/02,19:24:19,0.246,0.0275
2015/10/05,00:06:13,0.232,0.0259
2015/10/02,19:55:40,0.241,0.0270
2015/10/02,20:27:05,0.280,0.0313
2015/10/02,20:58:36,0.277,0.0309
2015/10/02,21:30:11,0.254,0.0284
2015/10/02,22:01:52,0.326,0.0364
2015/10/02,22:33:37,0.325,0.0363
2015/10/02,23:05:28,0.130,0.0145
2015/10/02,23:37:24,0.209,0.0234
2015/10/03,00:09:24,0.228,0.0254
2015/10/02,15:16:37,0.360,0.0402
2015/10/03,00:41:30,0.253,0.0282
2015/10/03,01:13:41,0.303,0.0339
2015/10/03,01:45:56,0.158,0.0176
2015/10/03,02:18:17,0.209,0.0234
2015/10/03,02:50:43,0.155,0.0173
2015/10/03,03:23:14,0.214,0.0240
2015/10/03,03:55:50,0.298,0.0334
2015/10/03,04:28:31,0.233,0.0261
2015/10/03,05:01:16,0.260,0.0291
2015/10/03,05:34:07,0.173,0.0193
2015/10/02,15:47:17,0.604,0.0675
2015/10/03,06:07:03,0.173,0.0194
2015/10/03,06:40:03,0.229,0.0256
2015/10/03,07:13:09,0.120,0.0135
2015/10/03,07:46:20,0.152,0.0170
2015/10/03,08:19:36,0.063,0.0071
2015/10/03,08:52:57,0.189,0.0211
2015/10/03,09:26:23,0.121,0.0135
2015/10/03,09:59:54,0.129,0.0145
2015/10/03,10:33:30,0.241,0.0269
2015/10/03,11:07:12,0.224,0.0251
2015/10/02,16:18:02,0.286,0.0320
2015/10/03,11:40:58,0.165,0.0184
2015/10/03,12:14:50,0.184,0.0206
2015/10/03,12:48:46,0.193,0.0216
2015/10/03,13:22:48,0.204,0.0228
2015/10/03,13:56:54,0.310,0.0346
2015/10/03,14:31:06,0.318,0.0355
2015/10/03,15:05:22,0.300,0.0335
2015/10/03,15:39:44,0.395,0.0442
2015/10/03,16:14:10,0.274,0.0307
2015/10/03,16:48:42,0.396,0.0443
2015/10/02,16:48:52,0.326,0.0364
2015/10/03,17:23:19,0.453,0.0507
2015/10/03,17:58:01,0.442,0.0495
2015/10/03,18:32:48,0.334,0.0374
2015/10/03,19:07:40,0.337,0.0376
2015/10/03,19:42:37,0.246,0.0275
2015/10/03,20:17:39,0.365,0.0408
2015/10/03,20:52:46,0.397,0.0444
2015/10/03,21:27:58,0.434,0.0485
2015/10/03,22:03:15,0.468,0.0524
2015/10/03,22:39:38,0.486,0.0543
2015/10/02,17:19:48,0.362,0.0405
2015/10/03,23:15:05,0.264,0.0295
2015/10/03,23:50:38,0.326,0.0364
2015/10/04,00:26:15,0.346,0.0387
2015/10/04,01:01:59,0.188,0.0210
2015/10/04,01:37:47,0.362,0.0405
2015/10/04,02:13:41,0.151,0.0169
2015/10/04,02:49:44,0.260,0.0290
2015/10/04,03:25:51,0.213,0.0238
2015/10/04,04:02:04,0.290,0.0324
2015/10/04,04:38:22,0.341,0.0381
2015/10/02,17:50:48,0.436,0.0487
2015/10/04,05:14:45,0.384,0.0430
2015/10/04,05:51:13,0.202,0.0225
2015/10/04,06:27:46,0.298,0.0333
2015/10/04,07:04:25,0.130,0.0146
2015/10/04,07:41:08,0.223,0.0250
2015/10/04,08:17:57,0.180,0.0202
2015/10/04,08:54:51,0.148,0.0165
2015/10/04,09:31:50,0.170,0.0190
2015/10/04,10:08:54,0.205,0.0229
2015/10/04,10:46:04,0.251,0.0281
2015/10/02,18:21:53,0.183,0.0205
2015/10/04,11:23:18,0.210,0.0234
2015/10/04,12:00:38,0.214,0.0239
2015/10/04,12:38:03,0.231,0.0258
2015/10/04,13:15:33,0.193,0.0216
2015/10/04,13:53:09,0.185,0.0207
2015/10/04,14:30:49,0.327,0.0366
2015/10/04,15:08:35,0.335,0.0374
2015/10/04,15:46:26,0.344,0.0384
2015/10/04,16:24:22,0.327,0.0366
2015/10/04,17:02:23,0.397,0.0443
2015/10/02,18:53:03,0.209,0.0233
2015/10/04,17:40:30,0.321,0.0359
2015/10/04,18:18:41,0.327,0.0366
2015/10/04,18:56:58,0.373,0.0418
2015/10/04,19:35:19,0.261,0.0292
2015/10/04,20:13:45,0.259,0.0290
2015/10/04,20:52:17,0.213,0.0239
2015/10/04,21:30:54,0.239,0.0267
2015/10/04,22:09:35,0.221,0.0247
2015/10/04,22:48:22,0.173,0.0193
2015/10/04,23:27:15,0.387,0.0432
